"","test.test","test.X2","test.df","test.p.value","uni.lhs","uni.op","uni.rhs","uni.X2","uni.df","uni.p.value"
"1","score",22689.6985312055,174,0,".p1.","==",".p490.",229.007197071826,1,0
"2","score",22689.6985312055,174,0,".p2.","==",".p491.",42.7468838899222,1,6.23010532052604e-11
"3","score",22689.6985312055,174,0,".p3.","==",".p492.",142.120190175649,1,0
"4","score",22689.6985312055,174,0,".p4.","==",".p493.",38.5466470539205,1,5.34605359980844e-10
"5","score",22689.6985312055,174,0,".p5.","==",".p494.",51.0626782595651,1,8.94617713242951e-13
"6","score",22689.6985312055,174,0,".p6.","==",".p495.",365.775163820396,1,0
"7","score",22689.6985312055,174,0,".p7.","==",".p496.",355.371815372064,1,0
"8","score",22689.6985312055,174,0,".p8.","==",".p497.",33.2210924851345,1,8.22534684807863e-09
"9","score",22689.6985312055,174,0,".p9.","==",".p498.",72.1695988896043,1,0
"10","score",22689.6985312055,174,0,".p10.","==",".p499.",18.5211258240028,1,1.6803146886013e-05
"11","score",22689.6985312055,174,0,".p11.","==",".p500.",1.26046563715169,1,0.261562970236479
"12","score",22689.6985312055,174,0,".p12.","==",".p501.",15.8328575939164,1,6.91905063939791e-05
"13","score",22689.6985312055,174,0,".p13.","==",".p502.",275.535946615213,1,0
"14","score",22689.6985312055,174,0,".p14.","==",".p503.",269.761246723427,1,0
"15","score",22689.6985312055,174,0,".p16.","==",".p505.",181.685870933325,1,0
"16","score",22689.6985312055,174,0,".p17.","==",".p506.",66.435184471289,1,3.33066907387547e-16
"17","score",22689.6985312055,174,0,".p18.","==",".p507.",69.6260383030996,1,1.11022302462516e-16
"18","score",22689.6985312055,174,0,".p19.","==",".p508.",47.9259124042265,1,4.42634817687804e-12
"19","score",22689.6985312055,174,0,".p20.","==",".p509.",31.9890151969312,1,1.55046849803497e-08
"20","score",22689.6985312055,174,0,".p21.","==",".p510.",523.635896036089,1,0
"21","score",22689.6985312055,174,0,".p22.","==",".p511.",352.363257512609,1,0
"22","score",22689.6985312055,174,0,".p23.","==",".p512.",49.4043838880212,1,2.08277839419679e-12
"23","score",22689.6985312055,174,0,".p24.","==",".p513.",298.006483954419,1,0
"24","score",22689.6985312055,174,0,".p25.","==",".p514.",157.437099745749,1,0
"25","score",22689.6985312055,174,0,".p26.","==",".p515.",171.261755027693,1,0
"26","score",22689.6985312055,174,0,".p27.","==",".p516.",34.7198706367224,1,3.80725606596855e-09
"27","score",22689.6985312055,174,0,".p28.","==",".p517.",6.82294603279411,1,0.00899939935618843
"28","score",22689.6985312055,174,0,".p29.","==",".p518.",753.677846363474,1,0
"29","score",22689.6985312055,174,0,".p30.","==",".p519.",702.329668009855,1,0
"30","score",22689.6985312055,174,0,".p31.","==",".p520.",0.0528692607811835,1,0.818143704031106
"31","score",22689.6985312055,174,0,".p32.","==",".p521.",6.17718708871707,1,0.0129407845449042
"32","score",22689.6985312055,174,0,".p33.","==",".p522.",185.855693681055,1,0
"33","score",22689.6985312055,174,0,".p34.","==",".p523.",149.555679099749,1,0
"34","score",22689.6985312055,174,0,".p35.","==",".p524.",26.6530809613688,1,2.43462258686655e-07
"35","score",22689.6985312055,174,0,".p36.","==",".p525.",0.874104204789609,1,0.349821591491991
"36","score",22689.6985312055,174,0,".p37.","==",".p526.",0.303307036128836,1,0.581816595491131
"37","score",22689.6985312055,174,0,".p38.","==",".p527.",11.0203897133101,1,0.000901151233207664
"38","score",22689.6985312055,174,0,".p39.","==",".p528.",0.163340657069368,1,0.686099294571219
"39","score",22689.6985312055,174,0,".p40.","==",".p529.",68.2518565857866,1,1.11022302462516e-16
"40","score",22689.6985312055,174,0,".p41.","==",".p530.",292.626150846578,1,0
