"","WLS2","WLS6","WLS1","WLS9","WLS10","WLS4","WLS3","WLS5","WLS8","WLS7"
"x1",0.13790303038761,0.461848004251883,-0.0321459684222786,-0.105718325016465,0.0957711868752237,0.364011945940682,0.047439254233143,0.0755604989287768,0.101947052531517,-0.0535783980122667
"x2",0.17270903380991,0.631726245449349,-0.0617112143552865,0.0574924195253721,-0.0498628455723703,0.108248701962747,0.027449374776074,0.021280831944134,0.0681157151155401,-0.0764434106164567
"x3",0.142803655088483,0.694996880675961,0.0175849729684288,-0.0296616929176332,-0.106651267883939,0.0984986289312166,0.0557940860625471,0.00256450956656442,0.0480857705529203,0.00126033520011375
"x4",0.142519159121683,0.159633055344406,0.117970827369228,0.140580874484622,-0.0302124764556229,0.0840836814517027,0.0679813843250481,0.0534522039953531,0.0507839575576745,-0.690010810307299
"x5",0.066732328983755,0.189352606557193,-0.030994798780991,0.017671590135739,-0.066785583056073,-0.0102431624454332,0.0826978210889462,0.100281113653571,-0.0312905855656301,0.758650512436827
"x6",0.229077937789182,-0.00913094937610513,0.0104695726488051,0.0599316349245719,-0.0732165918345617,-0.00239835364661321,0.0559324620342234,0.253214876506653,-0.0543655731070632,-0.238729811963717
"x7",-0.0630858439843234,0.469916734072824,0.0644532505337937,0.00736993221783794,-0.0148132128632008,0.131464713749751,0.048856207280004,-0.0588679968124455,0.0964875346782635,0.337070525702998
"x8",0.0726635270130522,0.718835221837655,0.0944327869689766,-0.0183066186707385,-0.0330143465761641,0.0342998618665218,0.0138854209764301,0.149724476826282,0.0390211892318845,0.031410833143183
"x9",0.409913772002331,0.0455484375950842,0.00448541268362155,-0.0161139800349602,-0.0110465599023257,0.341205090284419,0.0191450955112165,0.0341294435925351,0.0509315781153405,0.047281160368753
"x10",0.29752707461169,0.0932495145110996,-0.0228833014392847,-0.0260320210073121,-0.0276299242728425,0.53065960861688,0.045778472011608,0.0307550040658943,0.0467494601849426,0.0351455500362274
"x11",0.336236217167142,0.262502418991126,0.168386207427526,0.111382100185496,-0.349730998169655,0.120535927606177,0.166442238731514,0.075867180346348,0.0153491459776122,-0.0251501866011303
"x12",0.333091312184363,0.206040460120612,0.128449098999556,0.0825048115493678,-0.329482106755019,0.183907063278311,0.179784641229573,0.042548638338667,0.00388793321206946,0.0192889048119307
