"","F1","F2","F3"
"x1",-0.491967151732267,0.31907986495864,0.167574604917982
"x2",-0.47056051021464,0.43816967092179,0.0231417124778677
"x3",-0.529519107880791,0.394655288165757,0.0546390459444699
"x4",-0.139645162238301,0.0838702993033387,0.207676820781482
"x5",0.0749896481138227,-0.348815074613636,0.449152400968994
"x6",-0.0353327449049292,0.630382132907623,-0.163071149497248
"x7",-0.187226538809531,-0.533359801048132,0.511294966822244
"x8",-0.392736716354532,0.452395873150228,-0.018261121583592
"x9",-0.196964057232219,0.608334028699375,-0.0168800011601181
"x10",-0.351991475199343,0.475212550246646,0.0901736869129359
"x11",-0.21835429113557,0.657738428774612,0.00653553877509755
"x12",-0.231029217911499,0.644314425665688,0.00312649155146576
"x13",-0.517116640583122,-0.348022588818255,0.560277785599566
"x14",-0.422205256269064,-0.772688401591,0.8203169012915
"x15",-0.0100316645090616,0.80436772963768,0.00751158562723059
"x16",-0.0219690896391708,0.806611332783168,0.0466075538490471
"x17",-0.168364906570369,0.132105312565382,0.401344513736841
"x18",-0.0370696671843721,0.756955275452865,0.0370841170655442
"x19",-0.137515101014067,0.651206411132497,0.0799187080562082
"x20",0.109378111363305,0.0446110151136295,0.857378650237153
"x21",0.149302553668585,0.130534271573109,0.838085073220695
"x22",0.167203346750405,0.264167944849737,0.59941526893712
"x23",0.116646116428303,0.192048406348637,0.502937184954469
"x24",0.329688261103717,0.305796534747977,0.617840723865418
"x25",0.286420628476949,0.246073600325939,0.645152878641561
"x26",0.647012342601279,0.533614812596839,-0.436839699575073
"x27",0.678044245638854,0.513599800075852,-0.394882935629248
"x28",0.603910758837385,-0.132114072577976,0.101979637081162
"x29",0.0556836808360415,0.956151172142626,-0.220064022223931
"x30",0.0130332904433725,0.93810287504047,-0.227857015506611
"x31",0.658054500261996,-0.179912630768002,0.0705733025876919
"x32",0.756571386094297,0.324652003532961,-0.17313956608009
"x33",0.770410081862026,0.471273333226516,-0.379552105072778
"x34",0.811979764094069,0.533305065697729,-0.433880271035748
"x35",0.856975247220492,-0.0431415267120375,0.0645864012809313
"x36",0.814541220901164,-0.0865433320602736,0.136980538374636
"x37",0.85666357049959,-0.0581050688494548,0.0889020602138393
"x38",0.644368315407577,-0.28265355629041,0.101917574358301
"x39",0.671497053682097,-0.264923120280203,0.111909235522021
"x40",0.826938592061873,-0.107222922198231,0.058360609054341
"x41",0.727555577541525,-0.144506178887478,0.0659054822507697
"x42",0.773576802065254,-0.171764710663502,0.130014260080072
"x43",0.60369354894602,-0.200328376100299,0.168811715056529
"x44",0.615463695362883,-0.184089186192925,0.112814979084152
"x45",0.771581209393293,0.53111471785623,-0.387721568198663
"x46",0.824720936799302,0.645188044946135,-0.481252040703929
"x47",0.559789845326898,0.499819140801578,-0.598948341563027
"x48",-0.157880769565591,-0.0712981263139561,0.334115104016875
"x49",-0.317563034020046,-0.145833381183661,0.321327223407315
"x50",-0.0867197427823662,-0.140818351293169,0.743635355699711
"x51",-0.0628057163436946,-0.0150815891412403,0.674952340718043
"x52",-0.388559986899571,0.363281777501939,-0.00582809752443462
"x53",0.848801257002929,0.00299977051887315,0.00561766457220237
"x54",0.818177751040253,-0.0680679851512253,0.046472222687868
"x55",0.634208458427703,0.601805316282191,-0.610844847514748
"x56",0.891378510820141,0.0505155216300397,-0.0259520882798095
"x57",0.682837783121474,-0.129275748179302,0.125937177269541
"x58",0.856406174031222,-0.0358323225812256,-0.0482039468972354
"x59",0.697791872861637,-0.167492917542792,-0.0316861416589437
"x60",0.853285784026945,-0.0593632136560492,-0.00152747281134363
